winner_is_blue,is_title_bout,no_of_rounds,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,total_fight_time_secs,finish_DQ,finish_KO/TKO,finish_M-DEC,finish_Overturned,finish_S-DEC,finish_SUB,finish_U-DEC,year,month,day,Australia,Brazil,Canada,Chile,China,Croatia,Czech Republic,Denmark,Germany,Ireland,Japan,Mexico,Netherlands,New Zealand,Philippines,Poland,Russia,Singapore,South Korea,Sweden,USA,United Arab Emirates,United Kingdom,Uruguay,Catch Weight,Featherweight,Flyweight,Heavyweight,Light Heavyweight,Lightweight,Middleweight,Welterweight,Women's Bantamweight,Women's Featherweight,Women's Flyweight,Women's Strawweight,B_Orthodox,B_Southpaw,B_Switch,R_Orthodox,R_Southpaw,R_Switch,better_rank_Red,better_rank_neither,weight_dif,odds_dif,ev_dif,draw_dif,avg_SIG_STR_pct_dif,avg_TD_pct_dif,win_by_Decision_Majority_dif,win_by_Decision_Split_dif,win_by_Decision_Unanimous_dif,win_by_TKO_Doctor_Stoppage_dif
1,0,3,1,-1,0,-4,-2,-12,0,-1,-1,-5.08,-2.54,-3,-2.14,-0.5,-1.6,1,269.0,0,0,0,0,0,1,0,2020,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,292,68.27160494,0,-0.08999999999999997,-0.06000000000000005,0,-1,-1,0
0,0,3,0,1,-4,-5,0,-5,0,-5,-1,10.16,7.62,2,-2.25,-0.2,0.22,1,596.0,0,1,0,0,0,0,0,2020,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,360,110.0,0,-0.06000000000000005,-0.03999999999999998,0,-1,2,0
1,0,3,0,0,7,7,3,25,0,0,2,2.54,0.0,5,0.29,0.0,0.04,1,900.0,0,0,0,0,0,0,1,2020,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,292,68.27160494,-1,0.04999999999999999,-0.04999999999999999,0,2,3,0
1,0,3,0,0,-1,-3,-2,-13,0,1,0,5.08,10.16,-13,-0.3,-0.1,-1.26,1,657.0,0,1,0,0,0,0,0,2020,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,-450,-160.0,0,0.009999999999999953,-0.03999999999999998,0,-2,-2,0
1,0,3,0,0,0,0,0,0,0,0,0,2.54,2.54,2,0.0,0.0,0.0,1,900.0,0,0,0,0,0,0,1,2020,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,-10,-247,-37.007299270000004,0,0.0,0.0,0,0,0,0
0,0,3,-1,0,0,0,-1,-3,0,0,0,-10.16,-15.24,-1,-4.96,0.0,-1.42,1,900.0,0,0,0,0,0,0,1,2020,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,625,237.22222222,0,-0.52,-0.33,0,0,0,0
0,0,5,-1,1,-5,-5,-1,-13,-2,-3,0,0.0,2.54,-2,-2.36,0.0,0.3,1,1500.0,0,0,0,0,0,0,1,2020,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,237,30.07692308,1,0.07,-0.15999999999999998,0,0,-2,0
0,0,3,1,-1,-1,-7,-3,-19,-4,-13,3,2.54,-2.54,6,-1.24,0.0,-1.5,1,900.0,0,0,0,0,1,0,0,2020,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,340,97.36842105,-1,-0.15999999999999998,-0.03999999999999998,0,2,1,0
0,0,3,0,0,0,-12,-3,-29,0,-1,-8,2.54,5.08,-9,0.41,-0.7,-0.15,1,150.0,0,0,0,0,0,1,0,2020,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-26,-595,-230.14925373,0,-0.12,0.08000000000000002,0,0,-3,0
0,0,3,0,-1,-1,-5,-4,-20,-2,0,-1,12.7,5.08,1,3.3,-0.1,-2.8,1,900.0,0,0,0,0,1,0,0,2020,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,-327,-90.05494505,2,0.09000000000000002,0.0,-1,-1,-2,0
0,0,3,2,-1,1,-2,-2,-14,0,0,-2,-10.16,-15.24,1,-0.01,2.0,7.05,1,126.0,0,0,0,0,0,1,0,2020,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,247,37.007299270000004,-1,0.030000000000000027,0.19999999999999998,0,0,0,0
0,0,3,1,-1,-2,-6,-1,-17,0,-3,-2,2.54,-2.54,1,-0.71,0.0,-0.93,1,900.0,0,0,0,0,0,0,1,2020,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,327,90.05494505,0,-0.10999999999999999,-0.020000000000000018,0,-1,0,0
0,0,3,0,-1,-1,-1,0,-2,0,0,-1,-2.54,-5.08,4,-6.94,-2.4,-4.84,1,189.0,0,1,0,0,0,0,0,2020,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,-15,1950,692.0,0,-0.82,-1.0,0,0,0,0
0,0,3,0,-2,-7,-15,-6,-53,0,-4,-2,10.16,7.62,-9,-3.13,-0.5,-1.02,1,450.0,0,1,0,0,0,0,0,2020,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,242,33.37313433,0,-0.43,-0.44,0,-1,-8,0
1,0,3,3,-1,-1,-2,1,-6,0,0,0,-2.54,-5.08,-1,0.06,0.3,-1.13,1,168.0,0,0,0,0,0,1,0,2020,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,-15,470,167.26415094,-1,0.08000000000000002,-0.04999999999999999,0,-1,-1,0
0,0,3,0,1,1,3,3,14,0,1,0,-5.08,2.54,4,4.15,0.5,0.72,1,45.0,0,1,0,0,0,0,0,2020,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,-51,498,184.02877698,0,0.39,0.23,0,1,1,0
0,0,3,0,-1,-1,-1,0,-4,0,1,0,0.0,0.0,7,-0.63,0.0,-2.95,1,900.0,0,0,0,0,0,0,1,2020,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,361,111.0,0,0.19999999999999996,0.0,0,0,-2,0
0,0,3,0,0,0,-1,0,-3,0,-1,0,2.54,7.62,3,-1.88,0.0,0.0,1,456.0,0,1,0,0,0,0,0,2020,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,7,498,184.02877698,0,-0.25,0.0,0,0,0,0
1,0,3,0,0,-2,-4,-2,-19,0,-1,0,5.08,5.08,-9,-0.44,0.4,0.03,1,900.0,0,0,0,0,0,0,1,2020,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,-293,-69.27160494,-1,-0.030000000000000027,0.0,0,-2,-1,0
0,0,3,-1,0,-3,-3,-1,-12,0,0,0,5.08,-10.16,-6,-2.38,-0.2,-1.5,1,900.0,0,0,0,0,0,0,1,2020,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,700,275.0,0,-0.43,-0.22,0,0,-3,0
0,0,3,-1,0,-3,-3,-1,-10,0,0,-3,2.54,2.54,1,-1.1,-1.5,0.1,1,900.0,0,0,0,0,0,0,1,2020,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,775,298.02197802,0,0.030000000000000027,-0.42999999999999994,0,0,0,0
0,1,5,1,-3,2,14,5,49,3,2,3,-2.54,-7.62,3,0.99,-1.8,-0.31,1,288.0,0,0,0,0,0,1,0,2020,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,405,135.55555556000002,0,-0.18,-0.2,0,0,9,0
0,0,3,1,0,1,3,2,23,2,0,0,-10.16,-15.24,-4,-1.38,-0.6,-1.43,1,78.0,0,0,0,0,0,1,0,2020,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.0,0,-0.04999999999999999,-0.010000000000000009,0,3,0,0
